model_slug,N,T,layer,n_effective,n_censored,accuracy,q_mean,q_mean_ci_95,q_var,q_var_ci_95,q_abs_mean_exploratory,q_tail_mass,q_bimodality_bc,q_bimodality_dip,q_bimodality_dip_pval,ordered_rate,sg_label_rate,pm_rate,stagnation_after_move_rate,phase,q_count,hbar_norm_mean,hbar_norm_std
deepseek-r1-distill-qwen-14b,2,0.1,layer_mid,25,0,1.0,0.6554312769982247,"[0.6268714103903237, 0.6912536991387181]",0.09044702428124664,"[0.08274712912599731, 0.09699111612105503]",0.6554312769982247,0.68,0.7839134127144098,0.08453505128517136,0.0,1.0,0.0,0.0,0.0,ordered,300,34.221049930801456,5.224730193100546
deepseek-r1-distill-qwen-14b,2,0.2,layer_mid,25,0,1.0,0.6787016685017931,"[0.6525425210346476, 0.7044445229821309]",0.048020687554331226,"[0.044754688923326284, 0.050771283562449566]",0.6787016685017931,0.67,0.7826358697975229,0.09908250669927578,0.0,1.0,0.0,0.0,0.0,ordered,300,32.36409639482471,3.0224030704626266
deepseek-r1-distill-qwen-14b,2,0.3,layer_mid,25,0,1.0,0.6415415608496031,"[0.6130757678998, 0.6726898230651388]",0.0662144660686347,"[0.06022672850677303, 0.07140728377613297]",0.6415415608496031,0.5966666666666667,0.6508539088426439,0.11272005994835828,0.0,1.0,0.0,0.0,0.0,ordered,300,33.679166053909256,4.8600140506228975
deepseek-r1-distill-qwen-14b,2,0.4,layer_mid,25,0,1.0,0.5687807515821471,"[0.5396472145035806, 0.5965276891663882]",0.06471468803498659,"[0.05853157566603848, 0.06959674356993492]",0.5687807515821471,0.43333333333333335,0.5656319686740839,0.09495550283594646,0.0,1.0,0.0,0.0,0.0,ordered,300,34.96429548694806,4.980610336782553
deepseek-r1-distill-qwen-14b,2,0.5,layer_mid,25,0,1.0,0.5591288350961814,"[0.5337374079741732, 0.5876413720765503]",0.05997882786512361,"[0.05476585979638977, 0.06422208937318521]",0.5591288350961814,0.4633333333333333,0.6207979427226058,0.08305417350184979,0.0,1.0,0.0,0.0,0.0,ordered,300,34.73318741869592,5.559827688652988
deepseek-r1-distill-qwen-14b,2,0.6,layer_mid,25,0,1.0,0.5914768438725407,"[0.5612156441389956, 0.6195252595544437]",0.06355371858932632,"[0.058359944849155326, 0.06963627526973007]",0.5914768438725407,0.4866666666666667,0.5946533112921543,0.08864208256909602,0.0,1.0,0.0,0.0,0.0,ordered,300,33.94342326792508,5.61962758636113
deepseek-r1-distill-qwen-14b,2,0.7,layer_mid,25,0,1.0,0.5479474849659272,"[0.5187101282172628, 0.5827561850210906]",0.08349824602286725,"[0.07700303959371947, 0.09048806028711426]",0.5479474849659272,0.49,0.6756875726619493,0.08914269954109331,0.0,1.0,0.0,0.0,0.0,ordered,300,35.743478782349214,7.133580994534545
deepseek-r1-distill-qwen-14b,2,0.8,layer_mid,25,0,1.0,0.5522653223952397,"[0.5238993898547263, 0.5822279476429094]",0.0784584965112626,"[0.07126026067972757, 0.08414271106216706]",0.5522653223952397,0.49666666666666665,0.6638949020294945,0.08249615221794956,0.0,1.0,0.0,0.0,0.0,ordered,300,34.662728959918184,6.274882136104283
deepseek-r1-distill-qwen-14b,2,0.9,layer_mid,25,0,1.0,0.6093705177104899,"[0.5846984069367387, 0.6382955762522159]",0.051516474142763106,"[0.0480679314366571, 0.055568798967842524]",0.6093705177104899,0.6066666666666667,0.6501490775815165,0.06242891957075277,0.0,1.0,0.0,0.0,0.0,ordered,300,32.38221748663532,2.3999538297026763
deepseek-r1-distill-qwen-14b,2,1.0,layer_mid,25,0,0.8,0.4207954375434999,"[0.3931432997324788, 0.4523188382655864]",0.07539023470400416,"[0.06627250873453445, 0.08417684597188953]",0.42389260566272413,0.33,0.506628484085452,0.04008328804507086,0.0,0.8,0.0,0.2,0.0,ordered,300,39.180541045865276,21.447574598009297
deepseek-r1-distill-qwen-14b,3,0.1,layer_mid,25,0,0.48,0.20376663761176925,"[0.17027231750684646, 0.2345834792892285]",0.0796272871282644,"[0.06898764086425585, 0.09208554338095208]",0.258611915471892,0.15,0.5392779039648421,0.012514102366583586,1.0,0.48,0.32,0.2,0.0,ordered,300,30.389375931157815,19.039273128687174
