model_slug,N,T,layer,n_effective,n_censored,accuracy,q_mean,q_mean_ci_95,q_var,q_var_ci_95,q_abs_mean_exploratory,q_tail_mass,q_bimodality_bc,q_bimodality_dip,q_bimodality_dip_pval,ordered_rate,sg_label_rate,pm_rate,stagnation_after_move_rate,phase,q_count,hbar_norm_mean,hbar_norm_std
deepseek-r1-distill-qwen-7b,3,3.0,layer_mid,30,0,0.0,0.03154085409621656,"[0.024584389987887593, 0.040124361753541844]",0.006985399058729146,"[0.0055672491901819126, 0.008851918036492034]",0.06789659588932836,0.0022988505747126436,0.2512603530801715,0.010678534277440595,1.0,0.0,0.0,1.0,0.0,paramagnetic,435,131.22797876660348,11.251961496234939
deepseek-r1-distill-qwen-7b,4,0.1,layer_mid,25,0,0.08,0.08551832192381098,"[0.06379760848247373, 0.11182140665265237]",0.05932954069373446,"[0.05007203328581427, 0.06881780402210998]",0.183727061231736,0.056666666666666664,0.3249849217428335,0.013032301486180013,0.99,0.08,0.44,0.12,0.0,spin_glass,300,57.21715214495591,44.29389110983008
deepseek-r1-distill-qwen-7b,4,0.2,layer_mid,25,0,0.0,0.05505090008909096,"[0.03571580445615075, 0.07701637098251778]",0.036794225463418775,"[0.030420684976340567, 0.043374007345892286]",0.13283928499897446,0.016666666666666666,0.3953399322229289,0.020783718027106695,0.48,0.0,0.2,0.16,0.0,spin_glass,300,86.57840367499553,58.73212229851935
deepseek-r1-distill-qwen-7b,4,0.3,layer_mid,25,0,0.12,0.07547349997081915,"[0.053376210489910154, 0.09674432585198843]",0.041544501975296355,"[0.031693671410437885, 0.05274065701124168]",0.13807215068431974,0.05,0.5480373051051085,0.0146338106089756,0.975,0.12,0.16,0.2,0.0,spin_glass,300,81.83496663214135,55.706552212762745
deepseek-r1-distill-qwen-7b,4,0.4,layer_mid,25,0,0.2,0.014689164785947787,"[-0.011956922337489927, 0.03817672355627751]",0.05361621918612871,"[0.0419688123833632, 0.062074120392957524]",0.16793513457315326,0.043333333333333335,0.40121460052621505,0.01153406387538718,1.0,0.2,0.32,0.04,0.0,spin_glass,300,53.861194315269834,47.91982255097919
deepseek-r1-distill-qwen-7b,4,0.5,layer_mid,25,0,0.2,0.04303589422659158,"[0.014434104910114924, 0.06782247368719371]",0.051944475479005096,"[0.04397075058353288, 0.06086135736794813]",0.16736763799984736,0.05,0.33701667557729487,0.012763377252685414,1.0,0.2,0.28,0.16,0.0,spin_glass,300,49.21094392455561,47.739965901958136
deepseek-r1-distill-qwen-7b,4,0.6,layer_mid,25,0,0.0,0.07722091561989639,"[0.04780248725192712, 0.10645827673842982]",0.07848521003135277,"[0.06566902828387013, 0.09062450664042762]",0.22467121553450453,0.08,0.36117318445242214,0.018558149127657728,0.72,0.0,0.6,0.12,0.0,spin_glass,300,40.99619343696159,31.00238185557564
deepseek-r1-distill-qwen-7b,4,0.7,layer_mid,25,0,0.08,0.08185779360635659,"[0.058252901744574065, 0.10440747500620973]",0.036222941597588834,"[0.029442053905468956, 0.0422433651790756]",0.14360787408585926,0.04,0.4571819220409796,0.01748485152592514,0.825,0.08,0.4,0.24,0.0,spin_glass,300,60.40386565952227,50.413183271717074
deepseek-r1-distill-qwen-7b,4,0.8,layer_mid,25,0,0.08,0.04849158628989049,"[0.025299534654547404, 0.07327717347098982]",0.042656930316604495,"[0.03449014429589517, 0.05103581931036802]",0.1500979103590604,0.02666666666666667,0.35139210544382043,0.014529330058960236,0.97,0.08,0.36,0.2,0.0,spin_glass,300,62.373623730371946,55.73382533504534
deepseek-r1-distill-qwen-7b,4,0.9,layer_mid,25,0,0.0,0.04138876987367086,"[0.023096638261204224, 0.061060689399519315]",0.02872887344284513,"[0.021660951468949825, 0.03573035716017704]",0.1224657103083913,0.02,0.4347971920145754,0.012851955522450904,0.995,0.0,0.12,0.36,0.0,spin_glass,300,78.02831197561083,56.297989305976515
deepseek-r1-distill-qwen-7b,4,1.0,layer_mid,25,0,0.04,0.04120435896698636,"[0.02783005147132669, 0.05571701564781982]",0.02058541424529597,"[0.015795072904481375, 0.02558589607988545]",0.09961697156999323,0.013333333333333334,0.3088350736236294,0.012171527636180181,1.0,0.04,0.16,0.16,0.0,transitional,300,72.61247540416466,55.13156083191896
deepseek-r1-distill-qwen-7b,4,1.1,layer_mid,30,0,0.0,0.042498391222661046,"[0.03177932643342624, 0.05328430176299732]",0.013445996006171067,"[0.010126094361596283, 0.018277443979395666]",0.08025405893227129,0.013793103448275862,0.4259459448383665,0.011440178839556052,0.995,0.0,0.03333333333333333,0.5333333333333333,0.0,transitional,435,110.70010962845998,47.61237850085942
deepseek-r1-distill-qwen-7b,4,1.2,layer_mid,30,0,0.0,0.04130653938832764,"[0.030860058454368247, 0.04931764762737132]",0.010200682879895706,"[0.007302266397376624, 0.013159174759231205]",0.06580837996012517,0.004597701149425287,0.5710192349417007,0.009822712906359719,1.0,0.0,0.0,0.5666666666666667,0.0,transitional,435,110.81308745142627,42.45384272313362
deepseek-r1-distill-qwen-7b,4,1.3,layer_mid,30,0,0.0,0.02433735522106808,"[0.01732216022681251, 0.03245186090006944]",0.006669435764367022,"[0.005717710494101589, 0.007839134802259253]",0.06514652044009146,0.0,0.3555036103577868,0.012280507075830338,0.98,0.0,0.0,0.7666666666666667,0.0,paramagnetic,435,131.2456657428843,10.323249364696226
deepseek-r1-distill-qwen-7b,4,1.4,layer_mid,30,0,0.0,0.019985563791243634,"[0.013256992919027037, 0.02640387938632853]",0.005880779473068412,"[0.00496384128476428, 0.006711734475635816]",0.05979972012085147,0.0,0.33113212705334405,0.010838918204454434,0.995,0.0,0.0,0.8333333333333334,0.0,paramagnetic,435,123.78498504143072,18.891537718578768
deepseek-r1-distill-qwen-7b,4,1.5,layer_mid,30,0,0.0,0.025463623886604517,"[0.018960895133517962, 0.033172283331966666]",0.006700933528092275,"[0.005516923874090722, 0.008213007072032843]",0.06450548187024059,0.0,0.3132754924860972,0.009801503827970182,1.0,0.0,0.0,0.8666666666666667,0.0,paramagnetic,435,129.326134496988,11.653214776864637
deepseek-r1-distill-qwen-7b,4,1.8,layer_mid,30,0,0.0,0.02849583209722202,"[0.01942576359233701, 0.03836197358197268]",0.0074414888300597445,"[0.006257753776838478, 0.008604332764409967]",0.06999226012404199,0.0,0.34293214740354694,0.013850991151124436,0.875,0.0,0.0,1.0,0.0,paramagnetic,435,128.98057976878684,8.086381917279306
deepseek-r1-distill-qwen-7b,4,2.0,layer_mid,30,0,0.0,0.031028950473564885,"[0.023557316117802797, 0.038533164026932264]",0.006292802626935259,"[0.005284818988720327, 0.007736994237829224]",0.06323122159109881,0.0,0.39072861352017163,0.015049528482315102,0.78,0.0,0.0,0.9666666666666667,0.0,paramagnetic,435,132.19947735745518,8.965395209925548
deepseek-r1-distill-qwen-7b,4,2.5,layer_mid,30,0,0.0,0.03745714200721419,"[0.02910011000873366, 0.0458132858961199]",0.006749178654322757,"[0.0059389557000913635, 0.007763581091114831]",0.06955676789901766,0.0,0.3966778937997345,0.01751187078138328,0.46,0.0,0.0,1.0,0.0,paramagnetic,435,133.19578440553107,11.520635151611947
deepseek-r1-distill-qwen-7b,4,3.0,layer_mid,30,0,0.0,0.04648125501992626,"[0.0393726238766767, 0.0556346865335378]",0.0065963668561841325,"[0.005535161566142197, 0.007734723810055922]",0.07170461631364175,0.0,0.31896387914863733,0.016818499569130112,0.595,0.0,0.0,1.0,0.0,paramagnetic,435,130.70039399476485,8.10030805077821
deepseek-r1-distill-qwen-7b,5,0.1,layer_mid,25,0,0.0,0.03445511287544619,"[0.009649466047752726, 0.06079300463511595]",0.0440287887161204,"[0.035244444009305285, 0.052985220613734445]",0.14694770745675084,0.05,0.3723217461792882,0.0126363021053437,1.0,0.0,0.36,0.24,0.0,spin_glass,300,55.01566863338495,46.340172572188635
deepseek-r1-distill-qwen-7b,5,0.2,layer_mid,25,0,0.04,0.01725116673121761,"[-0.005824094824723795, 0.048313990901639736]",0.05434474647536064,"[0.04532149260546443, 0.06499953794991162]",0.15645284153191438,0.04666666666666667,0.3085295991702591,0.013590701236996587,1.0,0.04,0.48,0.28,0.0,spin_glass,300,62.62744271774409,54.457882872966195
deepseek-r1-distill-qwen-7b,5,0.3,layer_mid,25,0,0.0,0.035443120371391315,"[0.006550607192707979, 0.06298981063309272]",0.05958831964352934,"[0.04890292300564231, 0.07078181667056274]",0.17442009068499933,0.05,0.32798190826478024,0.012794804343396145,0.995,0.0,0.44,0.28,0.0,spin_glass,300,69.40661234601818,51.03537942215823
deepseek-r1-distill-qwen-7b,5,0.4,layer_mid,25,0,0.0,0.07740679086210901,"[0.059963008413195205, 0.09334505719418927]",0.021693939409867604,"[0.017089604897937236, 0.027611123879046077]",0.1177099690523306,0.01,0.19136146509874216,0.015537970626559207,0.915,0.0,0.2,0.44,0.0,transitional,300,97.11022300992096,53.40798364235328
deepseek-r1-distill-qwen-7b,5,0.5,layer_mid,25,0,0.0,0.039385877408123375,"[0.019032255896972668, 0.06265253855893772]",0.042537631328786095,"[0.0327678272311963, 0.05285400404723504]",0.13766225728948042,0.043333333333333335,0.463151831631441,0.010581885442651307,1.0,0.0,0.24,0.28,0.0,spin_glass,300,68.76230563336759,55.21423233191003
deepseek-r1-distill-qwen-7b,5,0.6,layer_mid,25,0,0.0,0.022527477725034214,"[0.0005072612368956877, 0.04932887216389332]",0.03981888492147507,"[0.03160492926863177, 0.04907989498723528]",0.14114095136955437,0.016666666666666666,0.32926532322178564,0.01380275663762014,0.99,0.0,0.36,0.24,0.0,spin_glass,300,58.77346748154716,44.385179263328766
deepseek-r1-distill-qwen-7b,5,0.7,layer_mid,25,0,0.0,0.042639210813128096,"[0.016201712405302587, 0.06983235439326971]",0.0505216033576361,"[0.03800647281242678, 0.06157858371890329]",0.14546860076708584,0.07,0.4194543134043309,0.011612351256610759,1.0,0.0,0.48,0.28,0.0,spin_glass,300,63.155914620550575,53.88458984554844
deepseek-r1-distill-qwen-7b,5,0.8,layer_mid,25,0,0.0,0.04343186443647167,"[0.022765997783190356, 0.06504938831642966]",0.02838799138210315,"[0.02205660859527313, 0.034351018113983056]",0.11592701332992206,0.016666666666666666,0.42312539724133635,0.01496183371043547,0.955,0.0,0.52,0.2,0.0,spin_glass,300,75.78126107236349,51.672843445998076
deepseek-r1-distill-qwen-7b,5,0.9,layer_mid,25,0,0.0,0.03401725938202406,"[0.015331996705862026, 0.05661789429884125]",0.0316272363031001,"[0.02340336627745588, 0.04010289547041401]",0.12458950703317712,0.023333333333333334,0.3882531910209452,0.011979712079843725,1.0,0.0,0.6,0.16,0.0,spin_glass,300,57.2670635209686,43.54745814452532
deepseek-r1-distill-qwen-7b,5,1.0,layer_mid,25,0,0.0,0.09374855873802593,"[0.07101280914333785, 0.11603239008867551]",0.03716554202027815,"[0.02984438848713582, 0.04450139461900091]",0.13638723495802513,0.056666666666666664,0.5741081264577992,0.009920807768813645,1.0,0.0,0.32,0.08,0.0,spin_glass,300,74.78750785684801,57.34468676029936
deepseek-r1-distill-qwen-7b,5,1.1,layer_mid,30,0,0.0,0.07479963964370372,"[0.06418735631715826, 0.08566557571266112]",0.013916518092302337,"[0.010741123924601094, 0.01768084294268949]",0.09505985995378934,0.013793103448275862,0.4547959979043666,0.009392403088488693,1.0,0.0,0.1,0.5,0.0,transitional,435,106.2047977917106,47.97320679715657
deepseek-r1-distill-qwen-7b,5,1.2,layer_mid,30,0,0.0,0.0423548566936511,"[0.03304415489083142, 0.05282248018135029]",0.01290504001732482,"[0.008707570566279276, 0.018546270974415125]",0.06733139544821791,0.016091954022988506,0.6344532158522992,0.011948853128331506,0.975,0.0,0.03333333333333333,0.5,0.0,spin_glass,435,107.25845396313632,42.33463151772477
deepseek-r1-distill-qwen-7b,5,1.3,layer_mid,30,0,0.0,0.02537035116877112,"[0.0198578490658356, 0.031208117613855082]",0.005290481406188622,"[0.004551659643847575, 0.005990817368480559]",0.06009668569947482,0.0,0.3921812394867603,0.013150970635247249,0.945,0.0,0.0,0.8666666666666667,0.0,paramagnetic,435,129.46049712745358,18.26955127789964
deepseek-r1-distill-qwen-7b,5,1.4,layer_mid,30,0,0.0,0.01742380047392128,"[0.011671747454929018, 0.024667523922364376]",0.005370590262507658,"[0.00443459400109602, 0.006355566738813924]",0.05629526331650672,0.0,0.298181461305999,0.010987147947336762,0.99,0.0,0.0,0.8333333333333334,0.0,paramagnetic,435,130.69062127797616,8.88317101576645
deepseek-r1-distill-qwen-7b,5,1.5,layer_mid,30,0,0.0,0.025832604937764816,"[0.018627248228747416, 0.03380928582787727]",0.006698311080495172,"[0.0054600292718230145, 0.00814614767270521]",0.06414858072068592,0.0,0.3352335232813928,0.01126488199032426,0.995,0.0,0.0,0.9666666666666667,0.0,paramagnetic,435,127.80267864869508,11.272476148382479
deepseek-r1-distill-qwen-7b,5,1.8,layer_mid,30,0,0.0,0.024402525296802216,"[0.01722683670153479, 0.03246391954453274]",0.00902617240164725,"[0.007234803036334897, 0.01061462565447543]",0.07033386240120774,0.0,0.4764802364893865,0.014073791509660904,0.88,0.0,0.0,0.9333333333333333,0.0,paramagnetic,435,129.8169300097438,10.855429537125122
deepseek-r1-distill-qwen-7b,5,2.0,layer_mid,30,0,0.0,0.029074576407889418,"[0.02152551584568221, 0.03719056511849865]",0.0072708087663964785,"[0.006137407378478221, 0.008525455484705454]",0.06819429733776836,0.0,0.36456959292852326,0.011449162661717893,1.0,0.0,0.0,0.9,0.0,paramagnetic,435,129.78052474000734,9.787557487901212
deepseek-r1-distill-qwen-7b,5,2.5,layer_mid,30,0,0.0,0.04315508661798346,"[0.03550837414912851, 0.05149258093476783]",0.0071881903956956626,"[0.005978348786525083, 0.008479767012234596]",0.07209366683651189,0.0,0.3385982537363127,0.010521418388532475,0.985,0.0,0.0,1.0,0.0,paramagnetic,435,131.44360875902564,11.43056478696463
deepseek-r1-distill-qwen-7b,5,3.0,layer_mid,30,0,0.0,0.04282641892621609,"[0.03568467308427838, 0.0512591435736316]",0.006146084172615751,"[0.005274565104354346, 0.006940035271304043]",0.06880578189330948,0.0,0.38630299351798686,0.015578473713809703,0.68,0.0,0.0,1.0,0.0,paramagnetic,435,132.96640110061827,9.714045711558343
deepseek-r1-distill-qwen-7b,6,0.1,layer_mid,25,0,0.0,0.03951396955361904,"[0.01892755254609859, 0.06350959290187765]",0.04261697054523866,"[0.03403223385938562, 0.0531513508377868]",0.13434312581090224,0.03,0.3894117436056533,0.012343594413250992,1.0,0.0,0.56,0.0,0.0,spin_glass,300,62.037719220168185,51.78286031565752
deepseek-r1-distill-qwen-7b,6,0.2,layer_mid,25,0,0.0,0.0348861597004428,"[0.009708419166237874, 0.06432300127102177]",0.06690768804610982,"[0.05315134912301936, 0.08086193171904134]",0.17170627524979143,0.056666666666666664,0.39698209165583975,0.019618327852608145,0.67,0.0,0.48,0.0,0.0,spin_glass,300,68.9780257549005,54.125074520132124
deepseek-r1-distill-qwen-7b,6,0.3,layer_mid,25,0,0.0,0.04879362692482614,"[0.01548876115438749, 0.07658619706123257]",0.06173926394046565,"[0.04993257431828067, 0.07371605468771038]",0.1718542230307171,0.07666666666666666,0.5534941981972391,0.012296097985752947,1.0,0.0,0.52,0.0,0.0,spin_glass,300,51.693255282474766,40.9626531839175
deepseek-r1-distill-qwen-7b,6,0.4,layer_mid,25,0,0.0,0.06335717837111875,"[0.03604986595492148, 0.09564439742461193]",0.055931637897814045,"[0.04412648383816741, 0.06935410706398938]",0.1565217754796552,0.06,0.42419847582332926,0.015586092779782288,0.915,0.0,0.44,0.04,0.0,spin_glass,300,60.02878798055989,56.736575061486114
deepseek-r1-distill-qwen-7b,6,0.5,layer_mid,25,0,0.0,0.07007959529775931,"[0.047284670299042736, 0.09549378965371959]",0.052639921171102486,"[0.04109492193476158, 0.06381873820852538]",0.15222599229618688,0.05,0.381764132214434,0.017028858454633682,0.84,0.0,0.4,0.0,0.0,spin_glass,300,77.2066779612102,58.67271192219618
deepseek-r1-distill-qwen-7b,6,0.6,layer_mid,25,0,0.0,0.0369040012854656,"[0.017154815009960238, 0.05895629567973243]",0.0400806245455234,"[0.030637731850503253, 0.04965463117723251]",0.1341235952397284,0.02666666666666667,0.42937799091455814,0.015435622411730278,0.95,0.0,0.4,0.04,0.0,spin_glass,300,73.22640850519409,56.019068056000954
deepseek-r1-distill-qwen-7b,6,0.7,layer_mid,25,0,0.0,0.02852622494268503,"[0.004785613909507365, 0.050446943491788625]",0.04844364472610959,"[0.038802113896665505, 0.060628162235424075]",0.15400344773038194,0.043333333333333335,0.471807183997976,0.013696820923376473,0.97,0.0,0.44,0.0,0.0,spin_glass,300,51.67875825225262,42.48798265284578
deepseek-r1-distill-qwen-7b,6,0.8,layer_mid,25,0,0.0,0.09032001024859124,"[0.061336541221802314, 0.12507131749040998]",0.05819429036731359,"[0.04735513488485291, 0.06929463178666011]",0.18274795441412775,0.07666666666666666,0.42061722736240925,0.013874199544423564,0.995,0.0,0.48,0.0,0.0,spin_glass,300,51.42250127755353,42.32627019057035
