model_slug,N,T,layer,n_effective,n_censored,accuracy,q_mean,q_mean_ci_95,q_var,q_var_ci_95,q_abs_mean_exploratory,q_tail_mass,q_bimodality_bc,q_bimodality_dip,q_bimodality_dip_pval,ordered_rate,sg_label_rate,pm_rate,stagnation_after_move_rate,phase,q_count,hbar_norm_mean,hbar_norm_std
deepseek-r1-distill-qwen-7b,3,0.8,layer_mid,25,0,0.44,0.1294765429316645,"[0.10551999733350428, 0.15503549709175496]",0.04816489697561813,"[0.03979430362697973, 0.05655693847909395]",0.17880727093938437,0.08,0.44283263779996523,0.015563872625617552,0.918,0.44,0.28,0.08,0.0,ordered,300,67.98024338380851,51.09554951085775
deepseek-r1-distill-qwen-7b,3,0.9,layer_mid,25,0,0.28,0.1189504730759407,"[0.09866430307572635, 0.13728269699219203]",0.034043118560284094,"[0.028409612174840056, 0.03970620945014234]",0.1538619018295309,0.05333333333333334,0.5495738736978774,0.015974375594438144,0.902,0.28,0.32,0.2,0.0,spin_glass,300,65.42286005015102,47.565347144231474
deepseek-r1-distill-qwen-7b,3,1.0,layer_mid,25,0,0.12,0.045298226819278635,"[0.031656895345886914, 0.060762100379671134]",0.017720318023848897,"[0.013293154287266098, 0.022269219890168137]",0.09184180924043397,0.01,0.33282870679541304,0.015924249538926672,0.926,0.12,0.32,0.32,0.0,undetermined,300,86.3462448256232,54.142593099694174
deepseek-r1-distill-qwen-7b,3,1.1,layer_mid,30,0,0.0,0.05177171951140085,"[0.04193534089212152, 0.06249897910171872]",0.014313458881501208,"[0.011166421211067595, 0.017806873644079523]",0.08667623551218823,0.006896551724137931,0.4585639737825156,0.015428178266234984,0.728,0.0,0.1,0.5666666666666667,0.0,undetermined,435,105.24280531349821,45.03261052417957
deepseek-r1-distill-qwen-7b,3,1.2,layer_mid,30,0,0.0,0.039849629516419814,"[0.030318664436603974, 0.05108290680681613]",0.012111653629927398,"[0.007832004932768866, 0.01676041167643792]",0.06470068597099836,0.016091954022988506,0.6839826009642324,0.019198172653289405,0.324,0.0,0.0,0.6666666666666666,0.0,spin_glass,435,107.7186843709886,40.39111403336732
deepseek-r1-distill-qwen-7b,3,1.3,layer_mid,30,0,0.0,0.018295296492272885,"[0.011352800182766501, 0.02661114852880491]",0.00624468461214571,"[0.005059939955612673, 0.0077139908955620945]",0.05858293548164877,0.0,0.3594006289960368,0.01404597672955958,0.852,0.0,0.0,0.7,0.0,paramagnetic,435,124.17387189794987,29.494212088470203
deepseek-r1-distill-qwen-7b,3,1.4,layer_mid,30,0,0.0,0.013517274543902313,"[0.006231469461912208, 0.02069031261864948]",0.005187022213785487,"[0.004438214035414165, 0.0059993631925868455]",0.057015359272119974,0.0,0.31485150285219576,0.013032093668836467,0.942,0.0,0.0,0.7666666666666667,0.0,paramagnetic,435,131.01198021001187,9.726779900219501
deepseek-r1-distill-qwen-7b,3,1.5,layer_mid,30,0,0.0,0.02254939261874862,"[0.016341630782491002, 0.029620832384104036]",0.005158775182756988,"[0.004411401546257033, 0.005982737276953025]",0.05738294262694548,0.0,0.3582522088518947,0.013693462597906244,0.872,0.0,0.0,0.7666666666666667,0.0,paramagnetic,435,130.6148514558255,17.002092262540366
deepseek-r1-distill-qwen-7b,3,1.8,layer_mid,30,0,0.0,0.02508932646060325,"[0.01690990193101362, 0.03347364313740093]",0.007503987541094908,"[0.006357824321934987, 0.008817727699745656]",0.06816850103782739,0.0,0.35323489811673536,0.015789731471133776,0.706,0.0,0.0,0.9333333333333333,0.0,paramagnetic,435,128.68393118473298,17.224814847741715
deepseek-r1-distill-qwen-7b,3,2.0,layer_mid,30,0,0.0,0.04211103710958964,"[0.033876023696101876, 0.05055417667276283]",0.0075094995100848366,"[0.006223295224809983, 0.008855006705557639]",0.07136643230711814,0.0,0.39446759484374216,0.013010478774845853,0.934,0.0,0.0,1.0,0.0,paramagnetic,435,132.93246300228162,9.924804376028154
